CC;SOCIETE;EMAIL;TELEPHONE
00015H;SOCOPAO;toureadama@gmail.com;07 58 67 82 24
00018F;SACI;toureadama@gmail.com;07 58 67 82 24
00045G;MOVIS C.I.;toureadama@gmail.com;07 58 67 82 24
00047D;SATRA;toureadama@gmail.com;07 58 67 82 24
00069Z;AFRICA GLOBAL LOGISTICS CI;toureadama@gmail.com;07 58 67 82 24
00074L;PACKING SERVICE;toureadama@gmail.com;07 58 67 82 24
00085W;TRANSIT CENTER;toureadama@gmail.com;07 58 67 82 24
00092Z;ITLG;toureadama@gmail.com;07 58 67 82 24
00100R;MIENSAH TRANSIT ET MANUTENTION CI;toureadama@gmail.com;07 58 67 82 24
00106T;EURO AFRIC TRANSIT;toureadama@gmail.com;07 58 67 82 24
00109N;GENERAL TRANSIT COTE D IVOIRE (GTCI);toureadama@gmail.com;07 58 67 82 24
00114G;TGR;toureadama@gmail.com;07 58 67 82 24
00118Q;SOCIETE NOUVELLE SATRANS- CI;toureadama@gmail.com;07 58 67 82 24
00122K;MONDIAL TRANSIT;toureadama@gmail.com;07 58 67 82 24
00154W;GESTOCI;toureadama@gmail.com;07 58 67 82 24
00155N;VIVO ENERGY CI;toureadama@gmail.com;07 58 67 82 24
00156F;OLA ENERGY COTE D'IVOIRE;toureadama@gmail.com;07 58 67 82 24
00157X;S.C.C.I (STE POUR LE COMPOUND CI);toureadama@gmail.com;07 58 67 82 24
00160G;CORLAY-CI(Usine);toureadama@gmail.com;07 58 67 82 24
00167A;LAGUNE TRANSIT (LTA);toureadama@gmail.com;07 58 67 82 24
00173M;SIR -STE IVOIR. DE RAFFINAGE-;toureadama@gmail.com;07 58 67 82 24
00181P;MAERSK COTE D'IVOIRE;toureadama@gmail.com;07 58 67 82 24
00182S;T T S (TRANSIT-TRANSPORT-SERVICES);toureadama@gmail.com;07 58 67 82 24
00183G;E.D.T.C.I.;toureadama@gmail.com;07 58 67 82 24
00195Y;DHL INTERNATIONAL CI;toureadama@gmail.com;07 58 67 82 24
00196M;TRANS-INTER;toureadama@gmail.com;07 58 67 82 24
00197C;TRANS-MER;toureadama@gmail.com;07 58 67 82 24
00200W;UNIVERS TRANSIT TRANS.C.I(U.T.T.C.I;toureadama@gmail.com;07 58 67 82 24
00206G;OCEAN TRANSIT SERVICES (O.T.S);toureadama@gmail.com;07 58 67 82 24
00207Z;STE ASSOCIATES TRANSIT;toureadama@gmail.com;07 58 67 82 24
00216B;TRANSIT INTERARMEES;toureadama@gmail.com;07 58 67 82 24
00218Y;TGA-CI;toureadama@gmail.com;07 58 67 82 24
00220C;GENERAL TRANSIT ABIDJAN;toureadama@gmail.com;07 58 67 82 24
00221T;S.I.A.P.;toureadama@gmail.com;07 58 67 82 24
00231D;CORLAY-CI;toureadama@gmail.com;07 58 67 82 24
00238R;POLYTRANS;toureadama@gmail.com;07 58 67 82 24
00243C;STTM;toureadama@gmail.com;07 58 67 82 24
00250P;ATLANTIC TRANSIT;toureadama@gmail.com;07 58 67 82 24
00251S;I.T.M;toureadama@gmail.com;07 58 67 82 24
00255J;AFRIQUE LOGISTIQUE C.I (AFRILOG CI);toureadama@gmail.com;07 58 67 82 24
00256Q;ICM(IVOIRIENNE DE COMMERCE MARITIME;toureadama@gmail.com;07 58 67 82 24
00258L;ENVOL-TRANSIT COTE D IVOIRE;toureadama@gmail.com;07 58 67 82 24
00260K;SIMAT;toureadama@gmail.com;07 58 67 82 24
00271F;ISOLDE TRANSIT INTERNATIONAL;toureadama@gmail.com;07 58 67 82 24
00272X;STIE;toureadama@gmail.com;07 58 67 82 24
00273P;SIFAL;toureadama@gmail.com;07 58 67 82 24
00275G;O I C;toureadama@gmail.com;07 58 67 82 24
00276Z;PETROCI HOLDING;toureadama@gmail.com;07 58 67 82 24
00277D;GLOBAL MANUTENTION COTE D IVOIRE;toureadama@gmail.com;07 58 67 82 24
00278J;EOLIS-TRANSIT;toureadama@gmail.com;07 58 67 82 24
00280E;STE CIAM;toureadama@gmail.com;07 58 67 82 24
00281L;E-TRANSIT;toureadama@gmail.com;07 58 67 82 24
00282A;ORYX GAZ COTE D'IVOIRE;toureadama@gmail.com;07 58 67 82 24
00284R;EBURNEA TRANSIT ET S. (EBUTRANS);toureadama@gmail.com;07 58 67 82 24
00285B;TRANSAKO;toureadama@gmail.com;07 58 67 82 24
00286V;SAS-CI TRANSIT;toureadama@gmail.com;07 58 67 82 24
00287Y;GLOBAL TRANSIT;toureadama@gmail.com;07 58 67 82 24
00288M;FM TRANSIT SARL;toureadama@gmail.com;07 58 67 82 24
00289C;STE UNIVERS TRANSIT ET M CI (UTMCI);toureadama@gmail.com;07 58 67 82 24
00291H;STE MANTRA IVOIRE;toureadama@gmail.com;07 58 67 82 24
00296P;STRACOTRANS;toureadama@gmail.com;07 58 67 82 24
00298G;AFRICA TRANS-LOGISTICS INTER.(ATLI);toureadama@gmail.com;07 58 67 82 24
00300D;STE KANA IVOIRE TRANSIT(K.I.T);toureadama@gmail.com;07 58 67 82 24
00304L;NIGT;toureadama@gmail.com;07 58 67 82 24
00306K;SDMA;toureadama@gmail.com;07 58 67 82 24
00312C;SOCIETE NOUVELLE ISAK TRANSIT;toureadama@gmail.com;07 58 67 82 24
00313T;GLE DE TRANSIT ET DE SHIPPING (GTS);toureadama@gmail.com;07 58 67 82 24
00317F;SOCOCIB TRANSIT;toureadama@gmail.com;07 58 67 82 24
00326E;ECOTRAM;toureadama@gmail.com;07 58 67 82 24
00327L;MYRTHE TRANSIT;toureadama@gmail.com;07 58 67 82 24
00340F;FEDIMEX;toureadama@gmail.com;07 58 67 82 24
00342P;WORLD TRANSIT;toureadama@gmail.com;07 58 67 82 24
00343S;ZARA TRANSIT;toureadama@gmail.com;07 58 67 82 24
00344G;HILANE  TRANSIT;toureadama@gmail.com;07 58 67 82 24
00348Q;AFRICA FORWARDING SERVICES CI;toureadama@gmail.com;07 58 67 82 24
00349E;PETRO IVOIRE;toureadama@gmail.com;07 58 67 82 24
00355V;S.I.T.D;toureadama@gmail.com;07 58 67 82 24
00357M;DA TRANSIT;toureadama@gmail.com;07 58 67 82 24
00359T;INTEGRAL LOGISTICS AGENCY;toureadama@gmail.com;07 58 67 82 24
00360H;TOP SERVICE TRANSIT;toureadama@gmail.com;07 58 67 82 24
00361W;KUMASAN MARINE SHIPPING SERVICES;toureadama@gmail.com;07 58 67 82 24
00362N;COMPAGNIE 2EL3A TRANSIT(C.2EL.3A.T);toureadama@gmail.com;07 58 67 82 24
00363F;ELDATRANS;toureadama@gmail.com;07 58 67 82 24
00367G;GROUPE INTERNATIONAL DE TRANSIT;toureadama@gmail.com;07 58 67 82 24
00368Z;SIAT;toureadama@gmail.com;07 58 67 82 24
00370J;SITRACOM;toureadama@gmail.com;07 58 67 82 24
